tconst	averageRating	numVotes
tt0000700	4.9	88
tt0000704	5.5	66
tt0000706	5.5	33
tt0000707	4.7	29
tt0000708	4.3	52
tt0000709	5.5	89
tt0000711	3.9	28
tt0000712	5.2	23
tt0000713	5.6	27
tt0000715	4.8	15
tt0000717	6.1	27
tt0000720	6.8	22
tt0000722	4.7	14
tt0000724	5.2	47
tt0000725	4.0	26
tt0000727	5.9	23
tt0000728	5.8	152
tt0000730	5.7	84
tt0000731	5.4	27
tt0000733	6.1	34
tt0000734	4.0	18
tt0000736	3.6	18
tt0000737	4.6	41
tt0000738	7.6	25
tt0000739	6.2	19
tt0000740	5.8	22
tt0000741	5.4	34
tt0000743	6.7	18
tt0000746	7.8	20
tt0000747	5.8	36
tt0000748	6.1	31
tt0000749	5.8	926
tt0000750	5.2	18
tt0000752	5.1	162
tt0000754	6.8	84
tt0000755	5.7	248
tt0000756	5.2	162
tt0000758	5.8	33
tt0000759	6.8	15
tt0000760	4.8	11
tt0000762	5.6	56
tt0000764	5.5	161
tt0000765	5.6	18
tt0000767	6.8	26
tt0000768	5.7	15
tt0000769	5.2	193
tt0000770	5.4	194
tt0000771	6.1	24
tt0000772	6.4	21
tt0000775	7.5	13
tt0000776	5.6	165
tt0000778	7.0	17
tt0000779	6.5	21
tt0000781	6.2	22
tt0000782	7.9	27
tt0000783	4.0	15
tt0000784	4.2	34
tt0000785	5.3	83
tt0000787	5.6	24
tt0000789	5.0	90
tt0000790	6.1	488
tt0000792	4.8	71
tt0000793	4.1	23
tt0000797	5.3	201
tt0000798	4.2	20
tt0000800	5.0	129
tt0000801	5.4	76
tt0000803	5.8	18
tt0000807	5.1	64
tt0000809	6.3	67
tt0000815	4.7	67
tt0000816	4.6	146
tt0000817	4.3	25
tt0000819	5.6	69
tt0000821	4.5	146
tt0000823	4.9	56
tt0000825	4.8	58
tt0000826	4.8	56
tt0000827	5.1	111
tt0000828	5.3	126
tt0000829	4.8	61
tt0000831	5.3	161
tt0000832	6.6	2902
tt0000833	6.4	843
tt0000835	4.7	183
tt0000836	4.6	61
tt0000837	5.5	46
tt0000838	2.7	14
tt0000840	5.6	392
tt0000841	5.2	96
tt0000842	4.3	15
tt0000843	5.6	43
tt0000844	5.8	37
tt0000845	4.9	45
tt0000846	2.8	14
tt0000847	5.2	19
tt0000848	5.2	26
tt0000851	5.6	47
tt0000852	5.6	298
tt0000853	6.1	42
tt0000854	5.9	610
tt0000855	5.8	51
tt0000857	5.6	40
tt0000858	5.6	39
tt0000860	4.6	92
tt0000861	5.5	60
tt0000862	4.1	20
tt0000864	6.2	61
